abfragefenster;qüry window
abfrage;qüry
abfragesprache;qüry language
abgeleitet;derived
massstab;scale
ablaufdiagramm;schedule chart
ablaufplan;project schedule
ableitung;derivative
abmelden;logout
abplattung;flattening
abschattung;shadow
koordinaten;coordinates
absolut;absolute
orientierung;orientation
absolutwert;absolute valü
abstand;distance
abbildung;projection
absteckung;laying out
absteckung;setting out
spezifikation;specification
abstrakt;abstract
datentyp;data type
abszisse;abscissa
abszissenachse;axis of abscissa
abtasten;scannen
abtastfreqünz;scanning rate
abtastlupe;scanning microscope
abtastmodus;scanning mode
abtastung;scanning
abtrag;excavation
abwärtskompatibilität;downward compatibility
achse;axis
adapter;adapter
adjazenz;adjacency
adjazenzanalyse;adjacency analysis
adjazenzmatrix;adjacency matrix
ärophotogrammetrie;ärial photogrammetry
ärotriangulation;ärial triangulation
affine transformation;affine transformation
agrargeographische karte;agrogeographic map
agrarland;agricultural land
agrarstruktur;agrarian structure
ähnlichkeit;similarity
ähnlichkeitstransformation;similarity transformation
akquisition;acquisition
satellit;satellite
sensor;sensor
aktualisierung;updating
algorithmus;algorithm
almanach;almanac
alphabetisches namensverzeichnis;alphabetic name register
alphabetisches ortsverzeichnis;alphabetic place register
alphanumerisch;alphanumeric
alphanumerische daten;alphanumeric data
altgrad;degree
kartenwerke;map series
kartographie;cartography
schreibweise;orthography
statistik;statistics
amtliches topographisch-kartographisches informationssystem;authoritative topographic cartographic information system
analog;analogü
analog digital wandlung;analogü digital conversion
analogausgabe;hardcopy
bildmessung;image measurements
bildtransformation;image transformation
bildverarbeitung;image processing
photogrammetrie;photogrammetry
bild;image
analyse;analysis
analytisch;analytical
funktion;function
anpassung;tuning
feineinstellung;tuning
anschlusspunkte;junction points
antenne;antenna
antwort;response
anwendung;application
programm;program
software;software
anzeige;display
apertur;aperture
applikation;application
approximation;approximation
äquator;equator
äquidistanz;equidistance
äquipotenzialfläche;equipotential surface
arbeitsablauf;workflow
arbeitsplanung;work planning
arbeitsplatz;workstation
arbeitsstation;work station
architektur;architecture
archiv;archive
archivierung;archiving
argument;argument
arithmetisches mittel;arithmetic mean
astronomisch;astronomic
atlas;atlas
atmosphäre;atmosphere
laufzeitverzögerung;time delay
streuung;scattering
attribut;attribute
auflösung;resolution
auflösungsvermögen;resolution
aufmass;measuring up
aufmessung;surveying
aufnahme;survey
format;format
aufnahmeskizze;survey sketch
aufnehmen;survey
aufriss;vertical projection
aufruf;reqüst
aufsetzen;setup
dichte;density
ausdehnung;extension
ausgabe;output
ausgabebild;output image
ausgabegerät;output device
ausgangswert;default valü
ausgleichung;adjustment
ausrichtung;justification
ausschlussflächen;exclusion areas
ausschneiden;clip
ausschreibung;submission
aussehen;layout
aussenfläche;exterior area
äussere orientierung;exterior orientation
äussere orientierung;outer orientation
auswertegerät;restitution device
auswertung;processing
auszeichung;markup
auszug;extraction
authentifizierung;authentification
automation;automation
datenverarbeitung;data processing
merkmalserkennung;feature recognition
kartierung;mapping
automatisierte liegenschaftskarte;automatic real estate map
axonometrie;axonometry
azimut;azimuth
azimutabbildung;azimuthal projection
azimutalprojektion;azimuthal projection
azimutbestimmung;azimut determination
additionskonstante;additive constant
ausgleichsrechnung;computation adjustment
ausgleichsparameter;adjustment parameter
achsenfehler;axis error
achssystem;axis system
böschungswinkel;angle of steepest slope
fehler;error
einstellgenauigkeit;accuracy in focusing
flächennivellement;area levelling
fläche;area
genauigkeit;accuracy
gelände;terrain
hilfsbasis;auxiliary base
höhe;altidude
höhenaufnahme;altimetric survey
höhe über nn;altitude above sea level
höhenlinie;contour line
höhe;height
höhenwinkel;angle of elevation
linie;line
luftbild;ärial photograph
lotabweichung;angle of deviation of the vertical
